SKU,Title,Image_Search_URL,Image_Src
SOBOWP7200,Sobo WP7200 Water Pump 5500L/H,https://www.bing.com/images/search?q=Sobo%20WP7200%20Water%20Pump%205500L/H,
SOBOWP9200,Sobo WP9200 Submersible 2400L/H,https://www.bing.com/images/search?q=Sobo%20WP9200%20Submersible%202400L/H,
SOBOWP9600,Sobo WP9600 Submersible 3200L/H,https://www.bing.com/images/search?q=Sobo%20WP9600%20Submersible%203200L/H,
SOBOWP9900,Sobo WP9900 Submersible 5000L/H,https://www.bing.com/images/search?q=Sobo%20WP9900%20Submersible%205000L/H,
SOBOWP10800,Sobo WP10800 Submersible 8000L/H,https://www.bing.com/images/search?q=Sobo%20WP10800%20Submersible%208000L/H,
SOBOSF1500DC,Sobo SF1500 DC Amphibious 1800L/H,https://www.bing.com/images/search?q=Sobo%20SF1500%20DC%20Amphibious%201800L/H,
SOBOSF2000DC,Sobo SF2000 DC Amphibious 2000L/H,https://www.bing.com/images/search?q=Sobo%20SF2000%20DC%20Amphibious%202000L/H,
SOBOSF3000DC,Sobo SF3000 DC Amphibious 3000L/H,https://www.bing.com/images/search?q=Sobo%20SF3000%20DC%20Amphibious%203000L/H,
SOBOSF4000DC,Sobo SF4000 DC Amphibious 4000L/H,https://www.bing.com/images/search?q=Sobo%20SF4000%20DC%20Amphibious%204000L/H,
SOBOSF5000DC,Sobo SF5000 DC Amphibious 5000L/H,https://www.bing.com/images/search?q=Sobo%20SF5000%20DC%20Amphibious%205000L/H,
SOBOSF6000DC,Sobo SF6000 DC Amphibious 6000L/H,https://www.bing.com/images/search?q=Sobo%20SF6000%20DC%20Amphibious%206000L/H,
SOBOSF8000DC,Sobo SF8000 DC Amphibious 8000L/H,https://www.bing.com/images/search?q=Sobo%20SF8000%20DC%20Amphibious%208000L/H,
SOBOSF10000DC,Sobo SF10000 DC Amphibious 10000L/H,https://www.bing.com/images/search?q=Sobo%20SF10000%20DC%20Amphibious%2010000L/H,
SOBOSF12000DC,Sobo SF12000 DC Amphibious 12000L/H,https://www.bing.com/images/search?q=Sobo%20SF12000%20DC%20Amphibious%2012000L/H,
